Ingreso_Mensual,Calorias_Consumidas
18295,4995
3360,1734
7890,2884
14464,3892
13784,4370
8765,2920
19350,5021
6926,2756
16923,4521
13863,4190
18523,4960
10822,3346
4185,2003
3269,2034
4933,2221
7811,2827
7551,2791
8920,3003
8896,3057
11166,3415
5247,2241
2689,1569
5505,2345
4399,1821
3767,1995
13894,3936
6056,2467
6390,2320
11338,3149
17002,4547
13127,3668
11292,3191
13055,3926
12753,3990
10933,3267
12733,3735
13516,3857
5112,2123
18287,4956
19659,5283
14706,4010
10726,3351
17041,4800
5652,2433
4085,2142
6443,2693
3521,2107
14153,4184
13305,3882
15917,4326
10489,3313
12192,3558
15490,4005
9373,3032
8175,2888
2661,1644
6797,2530
3495,1875
14034,4210
10129,3171
3516,2106
11029,2998
19762,5354
11768,3748
14685,4272
8831,2664
11071,3567
9708,3134
7776,2375
18948,5184
18716,5159
10506,3015
5068,2239
4527,2313
5195,2423
17922,4909
7758,2354
9236,3156
2891,1745
16486,4646
15166,4271
8392,2875
6061,2508
8684,2911
10892,3374
15567,4230
17765,4512
4954,2275
14337,3946
16539,4477
13465,3936
12262,3339
7556,2431
17448,4644
10610,3390
16273,4566
19912,4943
3002,1895
9410,3045
15185,4104
2706,1643
18434,5007
19747,5190
11255,3458
14883,4213
17320,4803
10074,3200
8874,2982
4178,2206
3559,1862
18698,5032
12414,3607
13317,3801
13421,3868
12289,3735
18812,5141
13752,3964
5193,2013
16431,4580
6127,2793
18657,4947
12673,3478
12730,3771
18207,4840
13994,3985
3806,2103
9276,3261
11974,3697
10026,3185
8030,2974
6248,2225
16045,4301
3163,1741
4498,2094
10494,3374
5804,2330
16308,4325
9085,3163
14149,3994
4136,2042
19582,5199
7237,2653
17055,4617
16377,4629
3354,1893
8355,3000
9892,3260
16449,4792
8291,2919
7431,2781
2702,1905
13947,3998
15188,4141
6889,2506
4827,2095
10504,3158
10277,3303
2697,1644
4430,2115
14274,4030
17587,4711
11839,3651
14089,3936
18208,4937
19543,5343
5311,2313
16743,4431
9046,2916
4486,2059
10838,3278
13911,3833
5411,2305
4234,2013
11180,3464
8259,3029
4885,2141
13611,3744
7236,2587
4302,2175
10655,3432
10620,3401
9116,2929
16757,4664
16986,4743
19146,4924
16575,4508
11708,3844
18871,4863
14335,3811
15668,4541
4549,2280
7923,2716
17089,4600
9658,2947
12748,3762
9900,3354
12374,3593
17651,4861
3654,2000
6999,2686
8795,2886
14683,4083
15374,3997
8039,2722
12137,3801
18086,4677
5057,2094
8092,2914
18982,5056
4700,2243
16672,4359
5461,2676
16707,4359
14469,4116
5369,2250
19840,4990
16492,4442
8199,2843
6487,2399
15946,4529
3718,1919
7235,2445
13796,3745
7055,2701
11646,3306
10550,3357
15257,4318
19929,5036
9393,3212
16873,4316
17065,4657
5936,2381
11254,3432
13177,3658
8395,2738
19109,5264
18136,5009
9522,3215
11651,3671
8100,2946
10496,3250
11507,3508
15446,4068
7142,2614
13812,4139
10179,3136
10708,3495
13216,3856
19953,4982
5944,2222
13257,3989
16934,4669
3560,1927
5920,2342
2801,1791
14968,4325
19490,5319
3199,2068
2690,1793
12992,3772
19864,5194
5475,2373
8602,2998
4316,2259
3069,2131
7942,2757
4395,2402
6363,2648
15413,4267
9955,3415
6514,2755
13593,3849
5509,2561
19038,5168
13229,4201
3909,1918
14749,4096
3284,1552
10596,3404
10060,3268
15033,4122
9843,3156
9706,2944
8301,3039
19421,5010
8486,3361
13147,3803
11216,3329
14823,4102
7280,2444
4868,2245
14539,4044
9155,3200
10673,3293
6995,2806
13393,3992
15903,4384
15621,4561
13466,4036
3353,2312
19458,5030
12407,3692
7277,2890
17838,4536
4991,2395
17828,4831
17099,4486
5551,2105
18479,4794
18888,4634
3376,1801
6642,2621
17702,4668
9466,3301
9579,3364
10487,3488
9299,3094
6965,2244
19519,4998
15917,4362
10811,3228
19714,5121
16598,4761
7677,2488
16762,4824
10808,3494
8449,2930
3650,1822
4431,1955
11704,3296
3581,2173
19396,5309
15907,4170
10305,3178
7737,2812
19443,5043
15275,3967
18744,4850
15684,4629
5843,2280
16000,4375
12162,3460
19464,5180
17625,4742
10630,3214
4179,1840
6006,2611
15784,4115
9753,3226
11935,3263
13810,4068
15796,4504
15745,4513
13651,3906
12957,4029
4979,2541
6952,2542
8381,2808
16569,4536
5349,2198
9890,3084
14422,4003
4989,2455
